"activateable","associateEntityType","associateParentEntity","createable","custom","customSetting","deepCloneable","deletable","deprecatedAndHidden","feedEnabled","hasSubtypes","idEnabled","isInterface","isSubtype","keyPrefix","label","labelPlural","layoutable","mergeable","mruEnabled","name","queryable","replicateable","retrieveable","searchable","triggerable","undeletable","updateable"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0D7","Feed Comment","Feed Comments","false","false","false","FeedComment","true","true","true","true","true","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0D5","Feed Item","Feed Items","true","false","false","FeedItem","true","true","true","true","true","false","true"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0I0","Feed Like","Feed Likes","false","false","false","FeedLike","false","false","false","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","09A","Feed Poll Choice","Feed Poll Choices","false","false","false","FeedPollChoice","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","09B","Feed Poll Vote","Feed Poll Votes","false","false","false","FeedPollVote","true","false","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","08U","Feed Revision","Feed Revisions","false","false","false","FeedRevision","true","true","true","false","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","0QJ","Feed Signal","Feed Signals","false","false","false","FeedSignal","false","false","false","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","0D6","Feed Tracked Change","Feed Tracked Changes","false","false","false","FeedTrackedChange","false","false","false","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false","4fe","Field Definition","Field Definitions","false","false","false","FieldDefinition","true","false","false","true","false","false","false"
"false",,,"true","false","false",,"true","false","false","false","true",,"false","01k","Field Permissions","Field Permissions","false","false","false","FieldPermissions","true","false","true","false","false","false","true"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","06h","FileSearchActivity","File Search Activity","false","false","false","FileSearchActivity","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","true",,"false","022","Fiscal Year Settings","Fiscal Year Settings","false","false","false","FiscalYearSettings","true","true","true","false","false","false","false"
"false",,,"false","false","false",,"false","false","false","false","false",,"false",,"Change Event: FlexNet Device","Change Event: FlexNet Device","false","false","false","FlexNet_Device__ChangeEvent","false","false","true","false","true","false","false"
